"ID pojazdu";"Kod pañstwa"
1;"DE"
1;"SU"
1;"FI"
1;"MN"
2;"JP"
2;"CN"
3;"SU"
4;"DE"
4;"LB"
4;"SLO"
4;"ES"
5;"FR"
5;"DE"
5;"ITA"
6;"CZSK"
6;"DE"
6;"IR"
6;"PE"
6;"CH"
6;"SE"
7;"GB"
7;"CA"
7;"PL"
7;"SU"
8;"DE"
8;"BG"
8;"HR"
8;"NO"
8;"RO"
8;"TR"
8;"HU"
8;"SLO"
9;"DE"
9;"BG"
9;"FI"
9;"ES"
9;"RO"
9;"SY"
9;"HU"
9;"ITA"
9;"EG"
10;"SU"
10;"FI"
10;"DE"
10;"PL"
11;"DE"
11;"HU"
11;"RO"
11;"BG"
11;"FI"
11;"ES"
11;"HR"
11;"TR"
11;"SY"
12;"GB"
12;"PL"
12;"NZ"
12;"AU"
12;"CZSK"
12;"CA"
12;"FR"
13;"GB"
13;"CA"
13;"PL"
13;"SU"
14;"USA"
14;"PL"
14;"GB"
14;"CA"
14;"AU"
14;"SU"
14;"CN"
15;"USA"
15;"GB"
15;"CA"
15;"SU"
16;"PL"
16;"SU"
16;"CZSK"
17;"ALB"
17;"AUS"
17;"BG"
17;"CPR"
17;"CZSK"
17;"FI"
17;"JG"
17;"KB"
17;"DE"
17;"PL"
17;"RO"
17;"HU"
17;"SU"
17;"AFG"
17;"CN"
17;"EG"
17;"INDZ"
17;"IRQ"
17;"LPRJ"
17;"JRA"
17;"KPN"
17;"LS"
17;"LB"
17;"MN"
17;"LBI"
17;"SY"
17;"WTM"
17;"ALG"
17;"ANG"
17;"ETP"
17;"GWI"
17;"GWIB"
17;"GWIR"
17;"KO"
17;"ML"
17;"MZB"
17;"SML"
17;"SD"
17;"TG"
17;"ZMB"
18;"DE"
18;"HU"
19;"USA"
19;"GB"
19;"CA"
19;"AU"
19;"PL"
19;"FR"
19;"SU"
19;"IND"
19;"IZR"
20;"DE"
20;"FR"
20;"HU"
20;"RO"
20;"BG"
20;"SU"
20;"PL"
21;"SU"
21;"PL"
22;"FR"
22;"JP"
22;"DE"
22;"PL"
22;"USA"
22;"GB"
22;"ITA"
22;"SU"
23;"GB"
23;"PL"
23;"CA"
23;"CZSK"
23;"NZ"
23;"PDAF"
24;"GB"
24;"PL"
24;"CZSK"
25;"DE"
26;"DE"
