"Kod";"Nazwa";"Flaga"
"SU";"Zwiazek Socjalistycznych Republik Radzieckich";"images/country/su.png"
"MN";"Mongolia";"images/country/mn.png"
"FI";"Finlandia";"images/country/fi.png"
"DE";"III Rzesza";"images/country/de.png"
"JP";"Japonia";"images/country/jp.png"
"CN";"Chinska Republika Ludowa";"images/country/cn.png"
"USA";"Stany Zjednoczone Ameryki";"images/country/usa.png"
"ES";"Hiszpania";"images/country/es.png"
"LB";"Liban";"images/country/lb.png"
"SLO";"Slowacja";"images/country/slo.png"
"PL";"Polska";"images/country/pl.png"
"FR";"Francja";"images/country/fr.png"
"ITA";"Wlochy";"images/country/ita.png"
"CZSK";"Czechoslowacja";"images/country/czsk.png"
"IR";"Iran";"images/country/ir.png"
"PE";"Peru";"images/country/pe.png"
"CH";"Szwajcaria";"images/country/ch.png"
"SE";"Szwecja";"images/country/se.png"
"GB";"Wielka Brytania";"images/country/gb.png"
"CA";"Kanada";"images/country/ca.png"
"BG";"Bulgaria";"images/country/bg.png"
"HR";"Chorwacja";"images/country/hr.png"
"NO";"Norwegia";"images/country/no.png"
"RO";"Rumunia";"images/country/ro.png"
"TR";"Turcja";"images/country/tr.png"
"HU";"Wegry";"images/country/hu.png"
"SY";"Syria";"images/country/sy.png"
"EG";"Egipt";"images/country/eg.png"
"AU";"Australia";"images/country/au.png"
"NZ";"Nowa Zelandia";"images/country/nz.png"
"AUS";"Austria";"images/country/aus.png"
"JG";"Jugoslawia";"images/country/jg.png"
"KB";"Kuba";"images/country/kb.png"
"AFG";"Afganistan";"images/country/afg.png"
"INDZ";"Indonezja";"images/country/indz.png"
"IRQ";"Irak";"images/country/irq.png"
"LPRJ";"Jemen Poludniowy";"images/country/lprj.png"
"JRA";"Jemen Polnocny";"images/country/jra.png"
"KPN";"Korea Polnocna";"images/country/kpn.png"
"LS";"Laos";"images/country/ls.png"
"LBI";"Libia";"images/country/lbi.png"
"WTM";"Wietnam";"images/country/wtm.png"
"ALG";"Algieria";"images/country/alg.png"
"ANG";"Angola";"images/country/ang.png"
"ETP";"Etiopia";"images/country/etp.png"
"GWI";"Gwinea";"images/country/gwi.png"
"GWIB";"Gwinea-Bissau";"images/country/gwib.png"
"GWIR";"Gwinea Rownikowa";"images/country/gwir.png"
"KO";"Kongo";"images/country/ko.png"
"ML";"Mali";"images/country/ml.png"
"MZB";"Mozambik";"images/country/mzb.png"
"SML";"Somalia";"images/country/sml.png"
"SD";"Sudan";"images/country/sd.png"
"TG";"Togo";"images/country/tg.png"
"ZMB";"Zimbabwe";"images/country/zmb.png"
"IND";"Indie";"images/country/ind.png"
"IZR";"Izrael";"images/country/izr.png"
"ALB";"Albania";"images/country/alb.png"
"CPR";"Cypr";"images/country/cpr.png"
"PDAF";"Poludniowa Afryka";"images/country/pdaf.png"
